from_type,from_value,relation_type,to_type,to_value
employee,bob,is_in,team,Team-a
employee,charlie,is_in,team,Team-a
employee,alice,is_in,team,Team-b
employee,harry,is_in,team,Team-b
employee,john,is_in,team,Team-c
employee,james,is_in,team,Team-b
employee,john,work_at,office,P1
employee,alice,work_at,office,P1
employee,bob,work_at,office,B2
employee,charlie,work_at,office,B2
employee,james,work_at,office,B2
employee,harry,work_at,office,B2
office,P1,is_in,country,Paris
office,B2,is_in,country,Barcelona
employee,harry,is_manager_of,employee,alice
employee,harry,is_manager_of,employee,james
